Department,Level,Course Code,Course Title,Unit,Lecturer,Day,Time,Lecture Hall
Exceptional Building Halls (Dekagon),300 Level,CRM 201,Law Enforcement Administration,3,Barr. Dayo,Friday,1pm – 3pm,MOURITIUS           (AB)
Exceptional Building Halls (Dekagon),300 Level,CRM 211,Family and Domestic Violence,3,Barr. Dayo,Friday,3pm – 5pm,MOURITIUS (AB)
Exceptional Building Halls (Dekagon),300 Level,SOC 241,Inter_Group Relation,3,Dr Dami,Thursday,3pm – 5pm,BENIN(AB)
Exceptional Building Halls (Dekagon),300 Level,GNS 212,Composition And Writing Techniques,2,Mrs Archibong,Monday,10am – 12pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,FRN 201,Intensive French,2,Mr  Roger,Tuesday,10am – 12pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,SOC 207,Social Change and Social Inequality,3,Mrs Ugochi,Wednesday,10am – 12pm,NIGERIA (AB)
Exceptional Building Halls (Dekagon),300 Level,SOC 210,Sociology of Knowledge and Technology,3,Mrs Ugochi,Wednesday,1pm – 3pm,TANZANIA (AB)
Exceptional Building Halls (Dekagon),300 Level,SOC 221,Sociology of Crime and Delinquency,3,Mr Ogunsola,Friday,10am – 12pm,TUNISIA (AB)
Exceptional Building Halls (Dekagon),300 Level,CRM 201,Law Enforcement Administration,3,Barr. Dayo,Friday,1pm – 3pm,MOURITIUS (AB)
Exceptional Building Halls (Dekagon),300 Level,CRM 211,Family and Domestic Violence,3,Barr. Dayo,Friday,3pm – 5pm,MOURITIUS (AB)
Exceptional Building Halls (Dekagon),300 Level,SOC 241,Inter_Group Relation,3,Dr Dami,Thursday,3pm – 5pm,BENIN(AB)
Exceptional Building Halls (Dekagon),300 Level,GNS 212,Composition And Writing Techniques,2,Mrs Archibong,Monday,10am – 12pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,FRN 201,Intensive French,2,Mr Roger,Tuesday,10am – 12pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,BFN 215,Financial Management,3,Mr Bello,Tuesday,1pm – 3pm,NIGERIA (AB)
Exceptional Building Halls (Dekagon),300 Level,BUS 211,Production Management,3,Mr Adekunle,Wednesday,8am – 10am,NIGERIA (AB)
Exceptional Building Halls (Dekagon),300 Level,ACC 203,Elements Of Cost Accounting,3,Mr Quazeem,Thursday,1pm – 3pm,BENIN (AB)
Exceptional Building Halls (Dekagon),300 Level,BUS 212,Consumer Behaviour,3,Mr Akossa,Monday,3pm – 5pm,TUNISIA (AB)
Exceptional Building Halls (Dekagon),300 Level,ECN 203,Statistical Methods And Application,3,Mr Bello,Tuesday,3pm – 5pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,MEC 207,Micro Economics,3,Mr Emeka,Thursday,8am – 10am,BOTSWANA (EB)
Exceptional Building Halls (Dekagon),300 Level,BUS 202,Element of Planning,3,Miss Lauretta,Tuesday,8am – 10am,BENIN (AB)
Exceptional Building Halls (Dekagon),300 Level,BUS 207,Small Business Management,3,Mr Nwoke,Thursday,10am – 12pm,BOTSWANA (EB)
Exceptional Building Halls (Dekagon),300 Level,ECN 207,Introductory Econometric,3,Mr Emeka,Thursday,3pm – 5pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,GNS 212,Composition And Writing Techniques,2,Mrs Archibong,Monday,10am – 12pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,FRN 201,Intensive French,2,Mr Roger,Tuesday,10am – 12pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,BFN 215,Financial Management,3,Mr Bello,Tuesday,1pm – 3pm,NIGERIA (AB)
Exceptional Building Halls (Dekagon),300 Level,ECN 203,Statistical Methods And Application,3,Mr Bello,Tuesday,3pm – 5pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,HRM 207,Training And Performance Management,3,Mr Nwoke,Thursday,8am – 10am,TANZANIA
Exceptional Building Halls (Dekagon),300 Level,HRM 205,Employee Development Retention,3,Mr Robert,Thursday,1pm – 3pm,TUNISIA(AB)
Exceptional Building Halls (Dekagon),300 Level,ECN 207,Introductory Econometric,3,Mr Emeka,Thursday,3pm – 5pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,LAW 205,Business Law,3,Mr Oyedapo,Friday,1pm – 3pm,SYCHELLES (AB)
Exceptional Building Halls (Dekagon),300 Level,BUS 212,Consumer Behaviour,3,Mr Akossa,Monday,3pm – 5pm,TUNISIA (AB)
Exceptional Building Halls (Dekagon),300 Level,GNS 212,Composition And Writing Techniques,2,Mrs Archibong,Monday,10am – 12pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,FRN 201,Intensive French,2,Mr  Roger,Tuesday,10am – 12pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,ECN 203,Statistical Methods And Application,3,Mr Bello,Tuesday,3pm – 5pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,BFN 215,Financial Management,3,Mr Bello,Tuesday,1pm – 3pm,NIGERIA (AB)
Exceptional Building Halls (Dekagon),300 Level,BUS 212,Consumer Behaviour,3,Mr Akossa,Monday,3pm – 5pm,TUNISIA (AB)
Exceptional Building Halls (Dekagon),300 Level,ECN 205,Basic Mathematics For Economists,3,Mr Akossa,Thursday,1pm – 3pm,NIGERIA(AB)
Exceptional Building Halls (Dekagon),300 Level,ECN 207,Introductory Econometric,3,Mr Emeka,Thursday,3pm – 5pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,LAW 205,Business Law,3,Mr Oyedapo,Friday,1pm – 3pm,SYCHELLES (AB)
Exceptional Building Halls (Dekagon),300 Level,LAW 213,Law Of Banking And Finance,3,Mr Akossa,Monday,1pm – 3pm,SYCHELLES (AB)
Exceptional Building Halls (Dekagon),300 Level,MEC 207,Micro Economics,3,Mr Emeka,Thursday,8am – 10am,BOTSWANA (EB)
Exceptional Building Halls (Dekagon),300 Level,GNS 212,Composition And Writing Techniques,2,Mrs Archibong,Monday,10am – 12pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,FRN 201,Intensive French,2,Mr  Roger,Tuesday,10am – 12pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,ACC 201,Principles & Theories Of Financial Accounting,3,Mr Afuwape,Monday,1pm – 3pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,ACC 203,Elements Of Cost Accounting,3,Mr Quazeem,Thursday,1pm – 3pm,TUNISIA
Exceptional Building Halls (Dekagon),300 Level,ACC 205,Cooperate Taxation,3,Mr Quazeem,Thursday,10am – 12pm,ALGERIA (EB)
Exceptional Building Halls (Dekagon),300 Level,BFN 215,Financial Management,3,Mr Bello,Tuesday,1pm – 3pm,NIGERIA (AB)
Exceptional Building Halls (Dekagon),300 Level,ACC 207,Financial Accounting,3,Mr Quazeem,Friday,8am – 10am,BENIN (AB)
Exceptional Building Halls (Dekagon),300 Level,MEC 207,Micro Economics,3,Mr Emeka,Thursday,8am – 10am,BOTSWANA (EB)
Exceptional Building Halls (Dekagon),300 Level,ECN 207,Introductory Econometric,3,Mr Emeka,Thursday,3pm – 5pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,GNS 212,Composition And Writing Techniques,2,Mrs Archibong,Monday,10am – 12pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,FRN 201,Intensive French,2,Mr  Roger,Tuesday,10am – 12pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,ACC 201,Principles & Theories Of Financial Accounting,3,Mr Afuwape,Monday,1pm – 3pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,ACC 203,Elements Of Cost Accounting,3,Mr Quazeem,Thursday,1pm – 3pm,TUNISIA
Exceptional Building Halls (Dekagon),300 Level,ACC 205,Cooperate Taxation,3,Mr Quazeem,Thursday,10am – 12pm,ALGERIA (EB)
Exceptional Building Halls (Dekagon),300 Level,BFN 215,Financial Management,3,Mr Bello,Tuesday,1pm – 3pm,NIGERIA (AB)
Exceptional Building Halls (Dekagon),300 Level,ACC 207,Financial Accounting,3,Mr Quazeem,Friday,8am – 10am,BENIN (AB)
Exceptional Building Halls (Dekagon),300 Level,MEC 207,Micro Economics,3,Mr Emeka,Thursday,8am – 10am,BOTSWANA (EB)
Exceptional Building Halls (Dekagon),300 Level,ECN 207,Introductory Econometric,3,Mr Emeka,Thursday,3pm – 5pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,GNS 212,Composition And Writing Techniques,2,Mrs Archibong,Monday,10am – 12pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,FRN 201,Intensive French,2,Mr  Roger,Tuesday,10am – 12pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,ACC 201,Principles & Theories Of Financial Accounting,3,Mr Afuwape,Monday,1pm – 3pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,MEC 207,Micro Economics,3,Mr Emeka,Thursday,8am – 10am,BOTSWANA (EB)
Exceptional Building Halls (Dekagon),300 Level,URP 201,Basic Planning,3,Mrs Kate,Monday,8am – 10am,BENIN (AB)
Exceptional Building Halls (Dekagon),300 Level,ESM 205,Estate Surveying Studio,3,Mr Ajani,Wednesday,8am – 10am,SYCHELLES
Exceptional Building Halls (Dekagon),300 Level,ESM 207,Introductory Law And Torts,3,Mr Ajani,Wednesday,10am – 12pm,SYCHELLES
Exceptional Building Halls (Dekagon),300 Level,ESM 203,Land Surveying,3,Mr Timothy,Wednesday,3pm – 5pm,SYCHELLES (AB)
Exceptional Building Halls (Dekagon),300 Level,ENT 311,"Principles And Practice Of
Entrepreneurship",2,Miss Lauretta,Tuesday,1pm – 3pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,GNS 314,Research Methodology,6,Mr Oyedapo,Friday,3pm- 5pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,FRN 301,Intensive French,2,Mr Gabriel,Friday,10am – 12pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,MCM 301,International Mass Communication,3,Mrs Archibong,Thursday,8am – 10am,BENIN(AB)
Exceptional Building Halls (Dekagon),300 Level,MCM 303,Communication For Development,3,Dr Innocent,Thursday,1pm – 3pm,BURUNDI (EB)
Exceptional Building Halls (Dekagon),300 Level,MCM 305,"Data Analysis In Communication
Research",3,Mrs Archibong,Thursday,10am – 12pm,NIGERIA (AB)
Exceptional Building Halls (Dekagon),300 Level,MCM 309,Mass Media Law And Ethics,3,Mr Felix,Friday,8am – 10am,BURUNDI (EB)
Exceptional Building Halls (Dekagon),300 Level,MCM 313,Film And Documentary Production,3,Mr Olayinka,Friday,1pm – 3pm,NIGERIA (AB)
Exceptional Building Halls (Dekagon),300 Level,ENT 311,"Principles And Practice Of
Entrepreneurship",2,Miss Lauretta,Tuesday,1pm – 3pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,GNS 314,Research Methodology,6,Mr Gabriel Kona,Thursday,3pm – 5pm,ALGERIA (EB)
Exceptional Building Halls (Dekagon),300 Level,FRN 301,Intensive French,2,Mr Gabriel,Friday,10am – 12pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,BIO 301,Clinical Biochemistry,3,Mr Gabriel Kona,Friday,1pm – 3pm,BOTSWANA (EB)
Exceptional Building Halls (Dekagon),300 Level,BIO 302,Industrial Microbiology,3,Mrs Devcom,Tuesday,3pm – 5pm,BURUNDI (EB)
Exceptional Building Halls (Dekagon),300 Level,BCH 311,Applied Enzymology,3,Mr Friday,Thursday,1pm – 3pm,UGANDA (EB)
Exceptional Building Halls (Dekagon),300 Level,MCB 312,Microbial Physiology And Metabolism,3,Mr Osazuwa,Wednesday,3pm – 5pm,BENIN (AB)
Exceptional Building Halls (Dekagon),300 Level,MCB 313,Pharmaceutical Microbiology,3,Mr Elendu,Monday,1pm – 3pm,NIGERIA (AB)
Exceptional Building Halls (Dekagon),300 Level,BIO 309,Molecular Biology And Forensic Analysis,3,Mr Friday,Friday,8am – 10am,BOTSWANA (EB)
Exceptional Building Halls (Dekagon),300 Level,BCH 314,Membrane Biochemistry,3,Mr Gabriel Kona,Friday,3pm – 5pm,BOTSWANA (EB)
Exceptional Building Halls (Dekagon),300 Level,MCB 318,Medical Virology,3,Mr Osazuwa,Wednesday,10am – 12pm,TUNISIA (AB)
Exceptional Building Halls (Dekagon),300 Level,MCB 317,Pathogenic Bacteriology,3,"Mr,Osazuwa",Wednesday,1pm – 3pm,TUNISIA (AB)
Exceptional Building Halls (Dekagon),300 Level,ENT 311,"Principles And Practice Of
Entrepreneurship",2,Miss Lauretta,Tuesday,1pm – 3pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,GNS 314,Research Methodology,6,Mr Gabriel Kona,Thursday,3pm – 5pm,ALGERIA (EB)
Exceptional Building Halls (Dekagon),300 Level,FRN 301,Intensive French,2,Mr Gabriel,Friday,10am – 12pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,BIO 301,Clinical Biochemistry,3,Mr Gabriel Kona,Friday,1pm – 3pm,BOTSWANA (EB)
Exceptional Building Halls (Dekagon),300 Level,BIO 302,Industrial Microbiology,3,Mrs Devcom,Tuesday,3pm – 5pm,BURUNDI (EB)
Exceptional Building Halls (Dekagon),300 Level,BCH 311,Applied Enzymology,3,Mr Friday,Thursday,1pm – 3pm,UGANDA(EB)
Exceptional Building Halls (Dekagon),300 Level,MCB 312,Microbial Physiology And Metabolism,3,Mr Osazuwa,Wednesday,3pm – 5pm,BENIN (AB)
Exceptional Building Halls (Dekagon),300 Level,MCB 313,Pharmaceutical Microbiology,3,Mr Elendu,Monday,1pm – 3pm,NIGERIA (AB)
Exceptional Building Halls (Dekagon),300 Level,BIO 309,Molecular Biology And Forensic Analysis,3,Mr Friday,Friday,8am – 10am,BOTSWANA (EB)
Exceptional Building Halls (Dekagon),300 Level,BCH 314,Membrane Biochemistry,3,Mr Gabriel Kona,Friday,3pm – 5pm,BOTSWANA (EB)
Exceptional Building Halls (Dekagon),300 Level,MCB 318,Medical Virology,3,Mr Osazuwa,Wednesday,10am – 12pm,TUNISIA (AB)
Exceptional Building Halls (Dekagon),300 Level,MCB 317,Pathogenic Bacteriology,3,"Mr,Osazuwa",Wednesday,1pm – 3pm,TUNISIA (AB)
Exceptional Building Halls (Dekagon),300 Level,ENT 311,"Principles And Practice Of
Entrepreneurship",2,Miss Lauretta,,,
Exceptional Building Halls (Dekagon),300 Level,GNS 314,Research Methodology,6,Mr Oyedapo,,,
Exceptional Building Halls (Dekagon),300 Level,FRN 301,Intensive French,2,Mr Gabriel,,,
Exceptional Building Halls (Dekagon),300 Level,LIN 301,Generative Syntax,3,Mr Fasina,,,
Exceptional Building Halls (Dekagon),300 Level,LIN 311,Cognitive Grammar,3,Mrs Regina,,,
Exceptional Building Halls (Dekagon),300 Level,LIN 331,Introduction to Corpus Linguistics,3,Mr Fasina,,,
Exceptional Building Halls (Dekagon),300 Level,LIN 321,Introduction to Second Language Acquisition,3,Mr Fasina,,,
Exceptional Building Halls (Dekagon),300 Level,LIN 341,Error/ Contrastive Analysis,3,Mr Fasina,,,
Exceptional Building Halls (Dekagon),300 Level,LIN 351,Introduction to African Linguistics,3,Mr Regina,,,
Exceptional Building Halls (Dekagon),300 Level,ENT 311,"Principles And Practice Of
Entrepreneurship",2,Miss Lauretta,Tuesday,1pm – 3pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,GNS 314,Research Methodology,6,Mr Oyedapo,Friday,3pm- 5pm,"MAIN  
AUDITORIUM"
Exceptional Building Halls (Dekagon),300 Level,FRN 301,Intensive French,2,Mr Gabriel,Friday,10am – 12pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,FIN 305,Business Finance,3,Mr Robert,Friday,1pm – 3pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,FIN 301,"Management, Concept Theory And Practice",3,Mr Adekunle,Wednesday,10am – 12pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,HRM 301,Advanced Human Resource Management,3,Mr Akossa,Thursday,3pm – 5pm,BURUNDI (EB)
Exceptional Building Halls (Dekagon),300 Level,ACC 303,Advance Financial Accounting,3,Mr Afuwape,Tuesday,3pm – 5pm,BOTSWANA (EB)
Exceptional Building Halls (Dekagon),300 Level,BUS 319,Project Analysis And Feasibility Study,3,Mr Bello,Tuesday,10am – 12pm,BURUNDI (EB)
Exceptional Building Halls (Dekagon),300 Level,ENT 311,"Principles And Practice Of
Entrepreneurship",2,Miss Lauretta,Tuesday,1pm – 3pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,GNS 314,Research Methodology,6,Mr Oyedapo,Friday,3pm- 5pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,FRN 301,Intensive French,2,Mr Gabriel,Friday,10am – 12pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,FIN 305,Business Finance,3,Mr Robert,Friday,1pm – 3pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,FIN 301,"Management, Concept Theory And Practice",3,Mr Adekunle,Wednesday,10am – 12pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,ACC 301,Principle Of Auditing And Investigation,3,Mr Afuwape,Monday,3pm – 5pm,BENIN (AB)
Exceptional Building Halls (Dekagon),300 Level,ACC 303,Advance Financial Accounting,3,Mr Afuwape,Tuesday,3pm – 5pm,BOTSWANA (EB)
Exceptional Building Halls (Dekagon),300 Level,ACC 311,Public Sector Accounting,3,Mr Quazeem,Thursday,8am – 10am,ALGERIA  (EB)
Exceptional Building Halls (Dekagon),300 Level,ENT 311,"Principles And Practice Of
Entrepreneurship",2,Miss Lauretta,Tuesday,1pm – 3pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,GNS 314,Research Methodology,6,Mr Oyedapo,Friday,3pm- 5pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,FRN 301,Intensive French,2,Mr Gabriel,Friday,10am – 12pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,FIN 305,Business Finance,3,Mr Robert,Friday,1pm – 3pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,FIN 301,"Management, Concept Theory And Practice",3,Mr Adekunle,Wednesday,10am – 12pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,ECN 301,International Economics,3,Mr Emeka,Thursday,10am – 12pm,BURUNDI (EB)
Exceptional Building Halls (Dekagon),300 Level,ECN 302,Advance Monetary Theory,3,Mr Adekunle,Wednesday,1pm – 3pm,SYCHELLES (AB)
Exceptional Building Halls (Dekagon),300 Level,ENT 311,"Principles And Practice Of
Entrepreneurship",2,Miss Lauretta,Tuesday,1pm – 3pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,GNS 314,Research Methodology,6,Mr Oyedapo,Friday,3pm- 5pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,FRN 301,Intensive French,2,Mr Gabriel,Friday,10am – 12pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,HRM 301,Advanced Human Resource Management,3,Mr Akossa,Thursday,3pm – 5pm,NIGERIA (AB)
Exceptional Building Halls (Dekagon),300 Level,BUS 319,Project Analysis And Feasibility Study,3,Mr Bello,Tuesday,10am – 12pm,NIGERIA (AB)
Exceptional Building Halls (Dekagon),300 Level,FIN 301,"Management, Concept Theory And Practice",3,Mr Adekunle,Wednesday,10am – 12pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,FIN 305,Business Finance,3,Mr Robert,Friday,1pm – 3pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,FIN 302,Labour Relations And Collective Bargaining,3,Mr Robert,Thursday,10am – 12pm,CAPE-VERDE (EB)
Exceptional Building Halls (Dekagon),300 Level,ENT 311,"Principles And Practice Of
Entrepreneurship",2,Miss Lauretta,Tuesday,1pm – 3pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,GNS 314,Research Methodology,6,Mr Oyedapo,Friday,3pm- 5pm,MAIN AUDITORIUM
Exceptional Building Halls (Dekagon),300 Level,FRN 301,Intensive French,2,Mr Gabriel,Friday,10am – 12pm,AUDITORIUM (EB)
Exceptional Building Halls (Dekagon),300 Level,INR 321,Foreign Policy Of African State,3,Mr Yonmo,Friday,1pm – 3pm,TUNISIA (AB)
Exceptional Building Halls (Dekagon),300 Level,INR 307,Evolution Of Modern International System,3,Dr. Dami,Thursday,1pm – 3pm,ALGERIA (EB)
Exceptional Building Halls (Dekagon),300 Level,INR 303,Peace And Conflicts Studies,3,Mrs Kelechi,Thursday,10am – 12pm,SEYCHELLS (AB)
Exceptional Building Halls (Dekagon),300 Level,INR 322,History And Practices Of Diplomacy,3,Mrs Kelechi,Thursday,8am – 10am,TANZANIA (AB)
Exceptional Building Halls (Dekagon),300 Level,INR 332,Defense Policy And Arms Control,3,Mr Arthur,Wednesday,10am – 12pm,BENIN (AB)
